,Issuer Name,Instrument Value (USD),Instrument Holder,Issuer Country,Issuer Sector
0,OLAM INTERNATIONAL LTD,11650000,WADDELL & REED FINANCIAL INC,SG,Palm Oil
1,OLAM INTERNATIONAL LTD,9150000,WADDELL & REED FINANCIAL INC,SG,Palm Oil
2,OLAM INTERNATIONAL LTD,500000,WADDELL & REED FINANCIAL INC,SG,Palm Oil
3,OLAM INTERNATIONAL LTD,100000,WADDELL & REED FINANCIAL INC,SG,Palm Oil
4,OLAM INTERNATIONAL LTD,6000000,CREDIT AGRICOLE SA,SG,Palm Oil
5,OLAM INTERNATIONAL LTD,1700000,CREDIT AGRICOLE SA,SG,Palm Oil
6,OLAM INTERNATIONAL LTD,300000,JPMORGAN CHASE BANK NA,SG,Palm Oil
7,OLAM INTERNATIONAL LTD,8130000,MORGAN STANLEY,SG,Palm Oil
8,OLAM INTERNATIONAL LTD,100000,MORGAN STANLEY,SG,Palm Oil
9,OLAM INTERNATIONAL LTD,6400000,LANGE ASSETS & CONSULTING GMBH,SG,Palm Oil
10,OLAM INTERNATIONAL LTD,200000,LANGE ASSETS & CONSULTING GMBH,SG,Palm Oil
11,OLAM INTERNATIONAL LTD,500000,DEKA IMMOBILIEN INVESTMENT GMBH,SG,Palm Oil
12,OLAM INTERNATIONAL LTD,500000,DEKA IMMOBILIEN INVESTMENT GMBH,SG,Palm Oil
13,OLAM INTERNATIONAL LTD,2200000,CREDIT AGRICOLE SA,SG,Palm Oil
14,OLAM INTERNATIONAL LTD,900000,JPMORGAN CHASE BANK NA,SG,Palm Oil
15,OLAM INTERNATIONAL LTD,400000,BLACKROCK INC.,SG,Palm Oil
16,OLAM INTERNATIONAL LTD,300000,UBS LTD,SG,Palm Oil
17,OLAM INTERNATIONAL LTD,600000,CROSSINVEST SA,SG,Palm Oil
18,OLAM INTERNATIONAL LTD,400000,DZ BANK AG,SG,Palm Oil
19,OLAM INTERNATIONAL LTD,200000,DZ BANK AG,SG,Palm Oil
20,OLAM INTERNATIONAL LTD,500000,VONTOBEL HOLDING AG,SG,Palm Oil
21,OLAM INTERNATIONAL LTD,200000,BLACKROCK INC.,SG,Palm Oil
22,OLAM INTERNATIONAL LTD,400000,MATTHEWS INTERNATIONAL CAPITAL MANAGEMENT LLC,SG,Palm Oil
23,OLAM INTERNATIONAL LTD,250000,SEDEC FINANCE SARL,SG,Palm Oil
24,OLAM INTERNATIONAL LTD,200000,UBS LTD,SG,Palm Oil
25,OLAM INTERNATIONAL LTD,200000,ALLIANZ SE,SG,Palm Oil
26,OLAM INTERNATIONAL LTD,200000,ODDO BHF SCA,SG,Palm Oil
27,OLAM INTERNATIONAL LTD,7717000,JPMORGAN CHASE BANK NA,SG,Palm Oil
28,OLAM INTERNATIONAL LTD,561000,JPMORGAN CHASE BANK NA,SG,Palm Oil
29,OLAM INTERNATIONAL LTD,748000,DEKA IMMOBILIEN INVESTMENT GMBH,SG,Palm Oil
30,OLAM INTERNATIONAL LTD,2188000,JPMORGAN CHASE BANK NA,SG,Palm Oil
31,OLAM INTERNATIONAL LTD,912000,JPMORGAN CHASE BANK NA,SG,Palm Oil
