,0
0,Cambiar Investors LLC
1,Itau Unibanco S.A.
2,Banco Alfa de Investimento S.A.
3,Banrisul S.A.
4,Fiera Capital Corporation
5,Mackenzie Financial Corporation
6,A.F.P. Habitat S.A.
7,Grupo de Inversiones Suramericana SA
8,Deutsche Bank AG (Germany)
9,Fortune Holdings Limited
10,Astra International Tbk PT
11,Indofood Sukses Makmur Tbk PT
12,Mitsubishi Corp
13,Kuwait Investment Authority
14,IOI Corporation Berhad
15,AMMB Holdings Bhd
16,Batu Kawan Bhd
17,Grupo Argos SA
18,A.F.P. Integra
19,Edmond de Rothschild (Suisse) S.A.
20,Berner Kantonalbank AG
21,Graub__ndner Kantonalbank
22,Archer Daniels Midland Co
23,SEI Investments Canada
24,"U.S. Global Investors, Inc."
25,"First Securities Investment Trust Co., Ltd."
26,Legal & General Investment Management Ltd.
27,Massingham International Ltd.
28,"Geode Capital Management, L.L.C."
29,Bank of Singapore Limited
30,Maple-Brown Abbott Ltd.
31,Handelsbanken Asset Management
32,Eaton Vance Management
33,"EARNEST Partners, LLC"
34,"Cohen & Steers Capital Management, Inc."
35,Groupama Asset Management
36,Ivy Investment Management Company
37,BlackRock Fund Advisors
38,GAM International Management Ltd.
39,PGIM Investments LLC
40,Irish Life Investment Managers Ltd.
41,ClariVest Asset Management LLC
42,CPR Asset Management
43,Bravia Capital
44,Franklin Templeton Investment Management Ltd.
45,Boston Partners
46,Mondrian Investment Partners Ltd.
47,Metzler Asset Management GmbH
48,"Daiwa Asset Management Co., Ltd."
49,MFS Investment Management
50,Aberdeen Standard Investments (Asia) Limited
51,Van Eck Associates Corporation
52,RBC Global Asset Management Inc.
53,ProFund Advisors LLC
54,"Pzena Investment Management, LLC"
55,Fidelity International
56,ABN AMRO Investment Solutions (AAIS)
57,Tera Capital Corporation
58,DuPont Capital Management Corporation
59,Brown Advisory
60,Lyxor Asset Management
61,California Public Employees' Retirement System
62,Acadian Asset Management LLC
63,Rothschild & Co Asset Management US INC.
64,Deutsche Bank Luxembourg S.A.
65,Royal London Asset Management Ltd.
66,Federated Investment Management Company
67,"BlackRock Financial Management, Inc."
68,Artisan Partners Limited Partnership
69,CIMB Bank Berhad
70,First Pacific Advisors LP
71,First Trust Advisors L.P.
72,"BlackRock Institutional Trust Company, N.A."
73,SEI Investments Management Corporation
74,"Gerstein, Fisher & Associates, Inc."
75,Victory Capital Management Inc.
76,Harding Loevner LP
77,Harris Associates L.P.
78,State Street Global Advisors Ltd. (Canada)
79,"Heartland Advisors, Inc."
80,"Stanley-Laman Group, Ltd."
81,"Hirtle, Callaghan & Co., LLC"
82,Nomura Asset Management Singapore Ltd.
83,"Nikko Asset Management Co., Ltd."
84,ProFuturo AFP
85,"Sterling Capital Management, LLC"
86,Pacific Mutual Fund Bhd.
87,Permodalan Nasional Berhad (PNB)
88,Promoinvest Sociedad Administradora de Fondos S.A.A.
89,A.F.P. Porvenir
90,Banque Cantonale Neuch__teloise
91,PanAgora Asset Management Inc.
92,DWS Investment GmbH
93,BTG Pactual Asset Management
94,Lembaga Kemajuan Tanah Persekutuan
95,Invesco Capital Management LLC
96,Vanguard Investments Australia Ltd.
97,Caixa Economica Federal
98,"Thornburg Investment Management, Inc."
99,Goldman Sachs Asset Management (US)
100,"Compass Group, L.L.C."
101,"TIFF Advisory Services, Inc."
102,Morgan Stanley Investment Management Inc. (US)
103,Morgan Stanley Investment Management (Singapore)
104,Temasek Holdings Pte. Ltd.
105,MacKay Shields LLC
106,"Lazard Asset Management, L.L.C."
107,"Symmetry Partners, LLC."
108,INVESCO Asset Management Deutschland GmbH
109,"CoreCommodity Management, LLC"
110,QMA LLC
111,Grantham Mayo Van Otterloo & Co LLC
112,"Pine River Capital Management, L.P."
113,"Wilmington Trust Investment Advisors, Inc."
114,Causeway Capital Management LLC
115,Prima AFP S.A.
116,"Research Affiliates, LLC"
117,"SunAmerica Asset Management, LLC"
118,Storebrand Kapitalforvaltning AS
119,"New York Life Investment Management, LLC"
120,Aditya Birla Sun Life AMC Limited
121,"GuideStone Capital Management, LLC"
122,Nordea Investment Management AB (Denmark)
123,Kenanga Investors Berhad
124,Winton Capital Management Ltd.
125,Robeco Institutional Asset Management B.V.
126,"The Vanguard Group, Inc."
127,AXA Rosenberg Investment Management Ltd.
128,State Street Global Advisors (France) S.A.
129,Hexavest Inc.
130,Fidelity Institutional Asset Management
131,Eastspring Investments Berhad
132,Mellon Investments Corporation
133,ERSTE-SPARINVEST Kapitalanlagegesellschaft mbH
134,Deka Investment GmbH
135,"WisdomTree Asset Management, Inc."
136,"GF Fund Management Co., Ltd."
137,IndexIQ Advisors LLC
138,LSV Asset Management
139,Capital World Investors
140,Capital Research Global Investors
141,Manulife Asset Management Limited
142,Candriam Belgium S.A.
143,AXA Rosenberg Investment Management LLC
