,Issuer Name,Instrument Value (USD),Instrument Holder,Issuer Country,Issuer Sector,NA - Orbitas Main Classification,NA - Orbitas Supplementary Classification
0,WILMAR INTERNATIONAL LTD,10422960.73,COMMONWEALTH BANK OF AUSTRALIA,SG,Palm Oil,Banking,Global Banks
1,WILMAR INTERNATIONAL LTD,14074914.87,COMMONWEALTH BANK OF AUSTRALIA,SG,Palm Oil,Banking,Global Banks
2,WILMAR INTERNATIONAL LTD,20000000,COMMONWEALTH BANK OF AUSTRALIA,SG,Palm Oil,Banking,Global Banks
3,WILMAR INTERNATIONAL LTD,41666666.67,COMMONWEALTH BANK OF AUSTRALIA,SG,Palm Oil,Banking,Global Banks
4,WILMAR INTERNATIONAL LTD,7148785.87,COMMONWEALTH BANK OF AUSTRALIA,SG,Palm Oil,Banking,Global Banks
5,WILMAR INTERNATIONAL LTD,97885196.37,ANZ,SG,Palm Oil,Banking,Global Banks
6,WILMAR INTERNATIONAL LTD,129625425.7,ANZ,SG,Palm Oil,Banking,Global Banks
7,WILMAR INTERNATIONAL LTD,65456070.64,ANZ,SG,Palm Oil,Banking,Global Banks
8,WILMAR INTERNATIONAL LTD,41666666.67,ANZ,SG,Palm Oil,Banking,Global Banks
9,WILMAR INTERNATIONAL LTD,10422960.73,NATIONAL AUSTRALIA BANK LTD,SG,Palm Oil,Banking,Global Banks
10,WILMAR INTERNATIONAL LTD,14074914.87,NATIONAL AUSTRALIA BANK LTD,SG,Palm Oil,Banking,Global Banks
11,WILMAR INTERNATIONAL LTD,20000000,NATIONAL AUSTRALIA BANK LTD,SG,Palm Oil,Banking,Global Banks
12,WILMAR INTERNATIONAL LTD,41666666.67,NATIONAL AUSTRALIA BANK LTD,SG,Palm Oil,Banking,Global Banks
13,WILMAR INTERNATIONAL LTD,7148785.87,NATIONAL AUSTRALIA BANK LTD,SG,Palm Oil,Banking,Global Banks
14,GOLDEN AGRI-RESOURCES LTD,50000000,RAIFFEISEN BANK INTERNATIONAL AG,SG,Palm Oil,Banking,Global Banks
15,SINAR MAS AGRO RESOURCES AND TECHNOLOGY TBK PT,50000000,ICICI BANK,ID,Palm Oil,Unknown,Unknown
16,SINAR MAS AGRO RESOURCES AND TECHNOLOGY TBK PT,60000000,BANK PAN INDONESIA TBK PT,ID,Palm Oil,Banking,Regional Banks
17,SINAR MAS AGRO RESOURCES AND TECHNOLOGY TBK PT,60000000,BANK PAN INDONESIA TBK PT,ID,Palm Oil,Banking,Regional Banks
18,SINAR MAS AGRO RESOURCES AND TECHNOLOGY TBK PT,60000000,BANK PAN INDONESIA TBK PT,ID,Palm Oil,Banking,Regional Banks
19,SINAR MAS AGRO RESOURCES AND TECHNOLOGY TBK PT,30000000,BANK DANAMON INDONESIA TBK PT,ID,Palm Oil,Unknown,Unknown
20,SINAR MAS AGRO RESOURCES AND TECHNOLOGY TBK PT,50000000,BANK DANAMON INDONESIA TBK PT,ID,Palm Oil,Unknown,Unknown
21,EAGLE HIGH PLANTATIONS TBK PT,89939200,BANK NEGARA INDONESIA (PERSERO) TBK PT,ID,Palm Oil,Banking,Regional Banks
22,EAGLE HIGH PLANTATIONS TBK PT,54984100,BANK NEGARA INDONESIA (PERSERO) TBK PT,ID,Palm Oil,Banking,Regional Banks
23,EAGLE HIGH PLANTATIONS TBK PT,5140,BANK NEGARA INDONESIA (PERSERO) TBK PT,ID,Palm Oil,Banking,Regional Banks
24,EAGLE HIGH PLANTATIONS TBK PT,31970.79,BANK NEGARA INDONESIA (PERSERO) TBK PT,ID,Palm Oil,Banking,Regional Banks
25,EAGLE HIGH PLANTATIONS TBK PT,1830400,BANK NEGARA INDONESIA (PERSERO) TBK PT,ID,Palm Oil,Banking,Regional Banks
26,EAGLE HIGH PLANTATIONS TBK PT,8830020,BANK NEGARA INDONESIA (PERSERO) TBK PT,ID,Palm Oil,Banking,Regional Banks
27,SINAR MAS AGRO RESOURCES AND TECHNOLOGY TBK PT,100000000,BANK NEGARA INDONESIA (PERSERO) TBK PT,ID,Palm Oil,Banking,Regional Banks
28,SINAR MAS AGRO RESOURCES AND TECHNOLOGY TBK PT,40000000,BANK NEGARA INDONESIA (PERSERO) TBK PT,ID,Palm Oil,Banking,Regional Banks
29,SINAR MAS AGRO RESOURCES AND TECHNOLOGY TBK PT,16000000,BANK CENTRAL ASIA TBK PT,ID,Palm Oil,Banking,Regional Banks
30,BUMITAMA AGRI LTD.,45833333.33,SUMITOMO MITSUI FINANCIAL GROUP INC,SG,Palm Oil,Banking,Global Banks
31,BUMITAMA AGRI LTD.,17142857.14,SUMITOMO MITSUI FINANCIAL GROUP INC,SG,Palm Oil,Banking,Global Banks
32,BUMITAMA AGRI LTD.,7142857.14,SUMITOMO MITSUI FINANCIAL GROUP INC,SG,Palm Oil,Banking,Global Banks
33,WILMAR INTERNATIONAL LTD,10422960.73,SUMITOMO MITSUI FINANCIAL GROUP INC,SG,Palm Oil,Banking,Global Banks
34,WILMAR INTERNATIONAL LTD,14074914.87,SUMITOMO MITSUI FINANCIAL GROUP INC,SG,Palm Oil,Banking,Global Banks
35,WILMAR INTERNATIONAL LTD,20000000,SUMITOMO MITSUI FINANCIAL GROUP INC,SG,Palm Oil,Banking,Global Banks
36,WILMAR INTERNATIONAL LTD,41666666.67,SUMITOMO MITSUI FINANCIAL GROUP INC,SG,Palm Oil,Banking,Global Banks
37,WILMAR INTERNATIONAL LTD,7148785.87,SUMITOMO MITSUI FINANCIAL GROUP INC,SG,Palm Oil,Banking,Global Banks
38,BUMITAMA AGRI LTD.,45833333.33,CIMB GROUP HOLDINGS BHD,SG,Palm Oil,Banking,Regional Banks
39,SINAR MAS AGRO RESOURCES AND TECHNOLOGY TBK PT,80000000,CIMB GROUP HOLDINGS BHD,ID,Palm Oil,Banking,Regional Banks
40,WILMAR INTERNATIONAL LTD,10422960.73,CIMB GROUP HOLDINGS BHD,SG,Palm Oil,Banking,Regional Banks
41,WILMAR INTERNATIONAL LTD,14074914.87,CIMB GROUP HOLDINGS BHD,SG,Palm Oil,Banking,Regional Banks
42,WILMAR INTERNATIONAL LTD,20000000,CIMB GROUP HOLDINGS BHD,SG,Palm Oil,Banking,Regional Banks
43,WILMAR INTERNATIONAL LTD,41666666.67,CIMB GROUP HOLDINGS BHD,SG,Palm Oil,Banking,Regional Banks
